COD_ACIDENTE;DATA;HORA;NATUREZA;SEVERIDADE;LOG1;LOG2;NUMERO_REFERENCIA;BAIRRO;JURISDICAO;LATITUDE;LONGITUDE;TIPOCRUZAMENTO;CONTROLETRAFEGO;LOCAL;ILUMINAÇÃO;TEMPO;SUPERFÍCIE DA PISTA;PRIMEIRA FONTE;AMCBO;SAMU;PECOFE;PRF;PRE;SIM
IRU4072;2024-08-19;12:10:55;Queda;Ferido;Belem Figueredo;;50;Jardim Iracema;;-3.7134082;-38.5837161;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408190417;;;;
TGU2813;2024-08-20;06:59:32;Colisão;Ferido;Porto Velho;;292;Henrique Jorge;;-3.7679597;-38.5832179;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408200130;;;;
ZVP3139;2024-08-20;14:01:23;Queda;Ferido;General Osorio De Paiva;;1127;Parangaba;;-3.7790762;-38.5720135;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408200492;;;;
AES0330;2024-08-20;22:14:04;Queda;Ferido;Borges De Melo ;;1575;FATIMA;Municipal;-3.757179;-38.533192;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;AES0330;2408200945;;;;
XKD7323;2024-08-21;18:18:30;Colisão;Ferido;Desembargado Leite Albuquerque;Osvaldo Cruz 1286;Cruzamento;Aldeota;;-3.7369232;-38.5008892;Cruzamento;;Não informado;;Não informado;;SAMU;;2408210808;;;;
OKP6315;2024-08-22;07:40:00;Atropelamento;Ferido;Rua João Carvalho;AV BAR STUDART;;ALDEOTA;Municipal;-3.7376126941755436;-38.5076792394009;Cruz;Semáforo;Comercial;Luz do Dia;Bom;Seca;AMCBO;976212;;;;;
QEF0981;2024-08-22;12:05:52;Colisão;Ferido;Rua Amelia Benebien;;630;Papicu;;-3.7378841;-38.4777916;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408220374;;;;
HRX7405;2024-08-22;20:02:48;Queda;Ferido;Dourado;;275;Conjunto Palmeiras;;-3.843402;-38.5226093;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408220793;;;;
VTR2847;2024-08-22;21:06:56;Queda;Ferido;Professor Otavio Lobo;;Não informado;PAPICU;Não informado;-3.7427838;-38.4777982;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408220853;;;;
JSH2355;2024-08-23;11:42:59;Queda;Ferido;Professor Virgilio Brandao;;133;Autran Nunes;;-3.7495691;-38.5956332;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408230328;;;;
SJR5896;2024-08-23;23:23:20;Colisão;Ferido;Almirante Henrique Saboia [];;1096;Varjota;Não informado;-3.7344126;-38.4841963;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408231072;;;;
UEA9894;2024-08-24;13:25:07;Queda;Ferido;Avenida Domingos Olimpio;;1839;Centro;;-3.7338057;-38.5397412;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408240523;;;;
NSB3614;2024-08-24;21:41:56;Queda;Ferido;Padre Antonio;AV DES MOREIRA;Cruzamento;ALDEOTA;Não informado;-3.7401793;-38.49966209999999;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408241103;;;;
JOQ2323;2024-08-24;21:55:30;Queda;Ferido;Avenida I;;s/n;PREFEITO JOSE VALTER;Não informado;-3.832581582595908;-38.552802995728065;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408241118;;;;
WOW0207;2024-08-26;07:08:31;Queda;Ferido;Bezerra De Menezes;;1301;Sao Gerardo;;-3.7341793;-38.5561954;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408260127;;;;
HYT1695;2024-08-26;12:02:13;Atropelamento;Ferido;Idelfonso Albano;;154;Meireles;;-3.722482;-38.5098266;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408260411;;;;
KZL2203;2024-08-26;14:25:25;Colisão;Ferido;Gomes De Matos;;798;Montese;;-3.7601797;-38.54481670000001;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408260579;;;;
DIH7179;2024-08-26;18:12:59;Queda;Ferido;Avenida Beira Mar;;Não informado;Praia De Iracema;Não informado;-3.720142;-38.5119907;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408260811;;;;
JTH8066;2024-08-26;20:17:17;Colisão;Ferido;BR 116 KM 9;;Não informado;Messejana;;-3.82818780089727;-38.5049624475077;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408260941;;;;
YCB9085;2024-08-27;10:03:55;Queda;Ferido;Contorno;;Não informado;EDSON QUEIROZ;Não informado;-3.7697689;-38.4741084;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408270240;;;;
BVR8055;2024-08-27;11:42:54;Colisão;Ferido;Rodrigues Junior;;840;Centro;;-3.731828;-38.5209938;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408270331;;;;
LXA4981;2024-08-28;06:23:59;Atropelamento;Ferido;Avenida Beira Mar;;3680;Meireles;;-3.7233929;-38.4879214;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408280097;;;;
WLY8139;2024-08-28;20:10:41;Queda;Ferido;Washington Soares;;5205;Cambeba;;-3.8047186;-38.4791216;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408280892;;;;
GPG9952;2024-08-29;20:21:45;Colisão;Ferido;Contorno;;300;Edson Queiroz;;-3.7694703;-38.4738999;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408290978;;;;
FXE6503;2024-08-30;12:36:30;Queda;Ferido;Avenida Professor Gomes De Matos;;928;Montese;;-3.761099199999999;-38.5456909;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408300547;;;;
EIG6130;2024-08-31;18:51:05;Colisão;Ferido;Rio Grande Do Norte;Parana;Cruzamento;Democrito Rocha;;-3.7578809;-38.5687241;Cruzamento;;Não informado;;Não informado;;SAMU;;2408310770;;;;
QMA3776;2024-09-01;06:56:04;Queda;Ferido;Da Abolição  - Condo Cromos;;2121;MEIRELES;Não informado;-3.7261532;-38.4990184;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2409010198;;;;
NLA5789;2024-09-01;20:48:49;Queda;Ferido;Doutor Joao Amora;;1296;Manuel Satiro;;-3.7996261;-38.5858907;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409010894;;;;
QAR6632;2024-09-03;08:25:28;Queda;Ferido;Pedro Muniz;;192;Democrito Rocha;;-3.7634098;-38.5623471;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409030184;;;;
KHX9884;2024-09-03;16:50:00;Atropelamento;Ferido;Avenida Presidente Castelo Branco;;153;MOURA BRASIL;Municipal;-3.7214925;-38.5272217;Meio de quadra;Não há Controle;Misto;Luz do Dia;Bom;Seca;AMCBO;974263;;;;;
JJO4774;2024-09-03;20:44:10;Queda;Ferido;Rua Miguel Gurgel;;417;Messejana;Não informado;-3.8400471739197504;-38.482327010582736;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2409030913;;;;
GPF1092;2024-09-03;23:39:49;Colisão;Ferido;Leste Oeste;;5478;Barra Do Ceara;;-3.7074674;-38.57094010000001;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409031119;;;;
BZV4062;2024-09-04;07:22:05;Queda;Ferido;Padre Pedro De Alencar;;244;Messejana;;-3.829805;-38.493797;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409040096;;;;
LXH4189;2024-09-04;08:45:09;Queda;Ferido;Osorio De Paiva;;6112;Canindezinho;;-3.809551;-38.6068523;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409040155;;;;
EOW1180;2024-09-04;16:59:09;Colisão;Ferido;Borges De Melo;;1295;Fatima;;-3.7591601;-38.53107079999999;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409040598;;;;
KTY2457;2024-09-04;18:00:00;Colisão Transversal;Não informado;Avenida Doutor Silas Munguba;;4392;SERRINHA;Municipal;-3.7921902586144647;-38.53619114468704;T;Semáforo;Lazer;Mal Iluminada;Bom;Seca;AMCBO;976240;;;;;
PKP9579;2024-09-05;09:42:17;Queda;Ferido;Rua Julio Silva;;440;Antonio Diogo;;-3.7451497;-38.4541973;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409050240;;;;
BQU7577;2024-09-05;15:14:27;Colisão;Ferido;Rua Jose Vilar 335;Deputado Moreira Rocha;Cruzamento;Meireles;;-3.7280444;-38.50196830000001;Cruzamento;;Não informado;;Não informado;;SAMU;;2409050581;;;;
PBV8266;2024-09-05;15:57:04;Queda;Ferido;Rua Doutor Hugo Rocha;;815;Alvaro Weyne;;-3.7188731;-38.5693095;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409050619;;;;
LZS8940;2024-09-05;19:21:09;Colisão;Ferido;Bernardo Manuel;;735;Serrinha;;-3.822159399999999;-38.5586096;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409050838;;;;
HWY3105;2024-09-05;20:53:28;Queda;Ferido;Arruda Camara;;253;Vila Peri;;-3.7908723;-38.5821559;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409050925;;;;
QEN0943;2024-09-05;22:37:39;Colisão;Ferido;Luiz Vieira;;205;Parque Sao Jose;;-3.7965636;-38.5864046;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409051009;;;;
MJH5821;2024-09-06;07:00:00;Colisão Frontal;Ferido;Avenida Sargento Hermínio Sampaio;AV JOSE JATAHY;;MONTE CASTELO;Municipal;-3.724798502906304;-38.54633354980827;Cruz;Semáforo;Comercial;Luz do Dia;Bom;Seca;AMCBO;976544;;;;;
ZBE9740;2024-09-06;19:00:00;Colisão;Fatal;Avenida Senador Carlos Jereissati;;;;Estadual;-3.780545686708433;-38.54089096158663;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;PEFOCE;UDG0616;2409060908;305693;;;36808840-5
SNA0144;2024-09-07;10:29:41;Queda;Ferido;Rua 856;;Não informado;CONJUNTO CEARA I;Não informado;-3.7703396;-38.599622;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2409070360;;;;
KDY9103;2024-09-07;17:47:22;Queda;Ferido;CE 10;;Não informado;Sabiaguaba;;-3.798772;-38.431878;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409070734;;;;
ERN3843;2024-09-07;20:56:16;Queda;Ferido;Avenida Beira Mar;;2170;PRAIA DE IRACEMA;Não informado;-3.720142;-38.5119907;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2409070967;;;;
OEW0127;2024-09-07;21:13:52;Queda;Ferido;Marechal Bittencourt;;545;Dias Macedo;;-3.7888267;-38.5291327;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409070989;;;;
TSP0773;2024-09-08;14:15:47;Queda;Ferido;Av. L;Terceira Etapa;Cruzamento;Prefeito Jose Walter;;-3.83315;-38.558201;Cruzamento;;Não informado;;Não informado;;SAMU;;2409080483;;;;
NJI5293;2024-09-08;16:07:10;Queda;Ferido;Avenida Dioguinho - Bairro Praia Do Futuro;;Não informado;PRAIA DO FUTURO I;Não informado;-3.7395951;-38.4531017;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2409080585;;;;
UQL7369;2024-09-08;17:28:11;Queda;Ferido;Avenida Santos Dumont;;1789;Aldeota;;-3.7331501;-38.5078317;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409080647;;;;
BYZ4708;2024-09-08;17:53:06;Colisão;Ferido;Mister Hull;;Não informado;ANTONIO BEZERRA;Não informado;-3.7396339;-38.5918266;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2409080669;;;;
NYK4161;2024-09-08;18:00:16;Colisão;Ferido;Avenida Manuel Mavgnier;;6433;Sabiaguaba;;-3.8081654;-38.4206164;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409080680;;;;
YHZ5198;2024-09-10;11:05:40;Colisão;Ferido;Rua Vitória;Conde Do Rio Branco;860;Henrique Jorge;Não informado;-3.760480446169099;-38.586021292731786;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2409100314;;;;
AVR8265;2024-09-10;17:31:23;Queda;Ferido;Avenida Contorno;;85;Edson Queiroz;;-3.7708416;-38.4744701;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409100740;;;;
ZNK4119;2024-09-10;22:38:22;Queda;Ferido;Domingos Olimpios;;Não informado;JOSE BONIFACIO;Não informado;-3.7371579;-38.5295194;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2409101030;;;;
SNL6247;2024-09-11;07:03:00;Colisão Transversal;Ileso;Rua Barbosa De Freitas;Rua Carolina Sucupira;;Não informado;Municipal;-3.741542492763438;-38.49895493775664;;Não há Controle;Não informado;;Não informado;;BEST;2066;;;;;
XJM8830;2024-09-11;14:25:24;Queda;Ferido;408- Conj São Cristovão;;106;Jangurussu;;-3.8327724;-38.5189821;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409110489;;;;
YPU9668;2024-09-11;19:38:13;Queda;Ferido;Rua C;;258;EDSON QUEIROZ;Não informado;-3.7726099608785253;-38.471823499550425;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2409110856;;;;
ZYP5782;2024-09-11;20:07:18;Queda;Ferido;Washington Soares;;6475;Messejana;;-3.8156904;-38.481909;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409110892;;;;
NDQ9918;2024-09-12;00:25:28;Queda;Ferido;Miguel Gonçalves;;195;Montese;;-3.7600197;-38.553557;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409120010;;;;
ARK4857;2024-09-12;07:00:34;Queda;Ferido;Antonio Sales;;3443;Coco;;-3.7485717;-38.4919505;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409120132;;;;
KIS4795;2024-09-12;09:08:38;Queda;Ferido;Rua Duarte Coelho;;406;Paupina;;-3.8629506;-38.49452;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409120224;;;;
QOT8404;2024-09-12;12:37:48;Queda;Ferido;Senador Fernandes Tavora;;2433;Autran Nunes;;-3.7560528;-38.5937121;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409120418;;;;
ZZK8544;2024-09-13;11:25:00;Colisão Transversal;Ferido;AV GAL OSORIO DE PAIVA;RUA ARARIPE PRATA;641;PARANGABA;Municipal;-3.776613841211255;-38.568034324951135;Cruz;Semáforo;Comercial;Luz do Dia;Bom;Seca;AMCBO;976308;;;;;
PFN1663;2024-09-13;15:45:07;Queda;Ferido;Senador Fernandes Tavora;;962;Henrique Jorge;;-3.7625155;-38.5814746;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409130693;;;;
QUS1093;2024-09-13;17:53:01;Queda;Ferido;Avenida Evilásio Almeida Miranda;;1004;SAPIRANGA / COITE;Não informado;-3.794941527949573;-38.46723692635739;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2409130824;;;;
ORZ1419;2024-09-14;17:04:17;Queda;Ferido;CE 010;;Não informado;Sabiaguaba;;-3.798772;-38.431878;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2409140690;;;;
PDN4523;2024-09-15;11:20:08;Queda;Ferido;Padre Antonio Tomas;;Não informado;COCO;Não informado;-3.744335;-38.4843303;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2409150387;;;;
NBL5662;2024-09-26;19:04:00;Atropelamento;Ferido;Avenida Governador Raul Barbosa;;6801;Não informado;Municipal;-3.7739888502118197;-38.512877549837846;;Não informado;Não informado;;Não informado;;BEST;2151;;;;;
ZRX7240;2024-10-01;15:37:47;Colisão;Ferido;Barra Nova;Avenida Jose Leon;Cruzamento;Jardim Das Oliveiras;;-3.786606099999999;-38.506134;Cruzamento;;Não informado;;Não informado;;SAMU;;2410010581;;;;
HBY4703;2024-10-01;21:54:35;Colisão;Ferido;Leste Oeste C\ Avenida Doutor Theberge;;Não informado;Carlito Pamplona;;-3.7074674;-38.57094010000001;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410010995;;;;
FJV0965;2024-10-02;17:27:15;Atropelamento;Ferido;Rua Capitao Melo;;3743;Sao Joao Do Tauape;;-3.7553361;-38.5133188;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410020679;;;;
JDP6504;2024-10-02;21:32:14;Atropelamento;Ferido;Joseleide Alves;;124;Curio;;-3.830036599999999;-38.4676079;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410020910;;;;
IWU2070;2024-10-02;22:17:08;Queda;Ferido;Rodovia Anel Viario;;1510;SIQUEIRA;Não informado;-3.8272244613055966;-38.62461158543094;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410020954;;;;
VBL2937;2024-10-03;06:30:00;Colisão Transversal;Não informado;Rua Álef de Souza Cavalcante;AV CASTELO DE CASTRO;100 OPOSTO;JANGURUSSU;Municipal;-3.8299578886290004;-38.52137466642411;T;Pare;Residencial;Luz do Dia;Não informado;Seca;AMCBO;973975;;;;;
MCE1166;2024-10-05;08:41:24;Queda;Ferido;Rua Coronel Virgilio Nogueira - De 1402 Ao Fim - Lado Par;;1638;GRANJA LISBOA;Não informado;-3.7909627;-38.6094874;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410050182;;;;
ERF1879;2024-10-05;21:25:08;Queda;Ferido;Rio Doce;;34;MONDUBIM;Não informado;-3.8194565;-38.5786992;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410050937;;;;
BWZ3510;2024-10-06;11:18:44;Queda;Ferido;Avenida Beira Mar;;Não informado;MEIRELES;Não informado;-3.725741;-38.4966461;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410060394;;;;
IMZ2138;2024-10-06;13:33:06;Queda;Ferido;Rua Canuto De Aguiar;Joaquim Nambuco;Cruzamento;Meireles;;-3.7293073;-38.49939180000001;Cruzamento;;Não informado;;Não informado;;SAMU;;2410060523;;;;
XOQ4086;2024-10-06;17:46:48;Queda;Ferido;Rua Romeu Martins;Almirante Rubinho;Cruzamento;Montese;;-3.7653528;-38.5540257;Cruzamento;;Não informado;;Não informado;;SAMU;;2410060730;;;;
IES5345;2024-10-06;20:39:26;Queda;Ferido;Doutor Fernando Augusto;;3131;Granja Lisboa;;-3.7873764;-38.6210698;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410060879;;;;
WSX2357;2024-10-07;21:46:02;Queda;Ferido;Einstein;;658;Vila Peri;;-3.790198;-38.5816609;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410071033;;;;
PYU8638;2024-10-08;19:15:32;Colisão;Ferido;BR 116 KM 15;;Não informado;Cambeba;;-3.87840074888036;-38.5006690836758;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410080747;;;;
NZW2089;2024-10-10;14:20:00;Atropelamento;Fatal;Avenida Monsenhor Tabosa;;940;PRAIA DE IRACEMA;Municipal;-3.7241497755331117;-38.51121440988337;Meio de quadra;Não há Controle;Comercial;Luz do Dia;Bom;Seca;AMCBO;975608;;;;;
JIP5472;2024-10-10;15:40:00;Colisão Transversal;Não informado;Rua Dom Expedito Lopes;Rua Tibúrcio Cavalcante;;Não informado;Municipal;-3.743869987764845;-38.50511022814993;;Semáforo;Não informado;;Não informado;;BEST;2257;;;;;
SRU7746;2024-10-11;07:35:26;Colisão;Ferido;Rua Joao Cordeiro -;;1544;Centro;;-3.7338532;-38.5156974;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410110136;;;;
BGC2335;2024-10-11;18:01:35;Queda;Ferido;Avenida I;;346;Conjunto Ceara;Não informado;-3.7730978;-38.6002835;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410110705;;;;
LPN3060;2024-10-12;11:49:09;Queda;Ferido;Rua Coronel Virgilio Nogueira;;733 A;Bom Jardim;;-3.7897955;-38.6090502;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410120386;;;;
HQS8865;2024-10-13;07:33:10;Queda;Ferido;Avenida Domngos Olimpio;;500;Centro;;-3.7374312;-38.5282469;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410130177;;;;
RMH3964;2024-10-13;08:45:16;Queda;Ferido;Beira Mar;;805;Praia De Iracema;;-3.7199497;-38.5128619;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410130252;;;;
EVS0068;2024-10-13;20:43:22;Queda;Ferido;Rua Itatiaia;;1585;Canindezinho;Não informado;-3.8096909;-38.6030277;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410130910;;;;
VRV6829;2024-10-14;21:30:00;Colisão Transversal;Ileso;Avenida Padre Antônio Tomás;AV SEN VIRGILIO TAVORA;;ALDEOTA;Municipal;-3.7418532700460716;-38.49458842369274;Cruz;Semáforo;Comercial;Via Iluminada;Bom;Seca;AMCBO;976242;;;;;
ECB1876;2024-10-15;17:46:21;Colisão;Ferido;Avenida Governador Raul Barbosa;Murilo Borges;Cruzamento;Aerolandia;;-3.7638364;-38.5083575;Cruzamento;;Não informado;;Não informado;;SAMU;;2410150670;;;;
OIM7721;2024-10-15;20:05:15;Colisão;Ferido;F;Av. C;Cruzamento;Conjunto Ceara;;-3.7674166;-38.6124684;Cruzamento;;Não informado;;Não informado;;SAMU;;2410150762;;;;
DUJ7284;2024-10-16;07:34:24;Queda;Ferido;Conego De Castro;;700;Parangaba;;-3.7793348;-38.5682782;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410160163;;;;
GBF6302;2024-10-16;10:04:31;Colisão;Ferido;Avenida Dioguinho;Bairro-Praia Do Futuro;2164;Praia Do Futuro;Não informado;-3.749549820978915;-38.449083713694215;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410160321;;;;
NVA3165;2024-10-16;14:17:55;Queda;Ferido;Avenida Washington Soares;;4879;Edson Queiroz;Não informado;-3.7786425382350077;-38.48130778171312;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410160523;;;;
RYR0101;2024-10-16;16:46:34;Queda;Ferido;Barao De Studart;;277;Aldeota;;-3.7263719;-38.5039266;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410160674;;;;
OCJ3880;2024-10-16;17:06:36;Queda;Ferido;Rua José Dantas Pereira;;230;Canindezinho;Não informado;-3.8224972;-38.607706;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410160701;;;;
WCO5828;2024-10-17;20:55:03;Queda;Ferido;General Osorio De Paiva;;6741;Canindezinho;;-3.8126794;-38.609639;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410170846;;;;
AXS3285;2024-10-17;21:28:09;Queda;Ferido;Rua Jardel Lima Dos Santos;;158;Jangurussu;;-3.830320599999999;-38.5219917;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410170871;;;;
YHD0099;2024-10-18;16:12:04;Queda;Ferido;Rua Coronel Virgilio Nogueira;;1098;Bom Jardim;;-3.7931927;-38.6102097;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410180630;;;;
RUR0806;2024-10-19;15:12:54;Colisão;Ferido;Rua Jorge Dumar -;;2577;Montese;;-3.7585029;-38.5407481;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410190619;;;;
DDA8546;2024-10-20;13:12:32;Queda;Ferido;Rua Pedro Martins;;585;Bom Jardim;;-3.7986658;-38.6032628;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410200387;;;;
YRN6768;2024-10-20;16:39:38;Colisão;Ferido;Rua Consul Gouveia;;437;Alvaro Weyne;;-3.7171965;-38.5650619;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410200525;;;;
MST4835;2024-10-20;17:56:47;Queda;Ferido;Rua Cento Um;;50;Parque Dois Irmaos;Não informado;-3.807113380827393;-38.548148488070524;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410200579;;;;
ZQT9921;2024-10-21;00:12:50;Queda;Ferido;L Esquina;Avenida B;Cruzamento;Prefeito Jose Walter;;-3.8268878;-38.5543871;Cruzamento;;Não informado;;Não informado;;SAMU;;2410210005;;;;
ZTD5249;2024-10-21;09:02:47;Colisão;Ferido;Bernardo Manuel;;10271;Parque Dois Irmaos;;-3.8087387;-38.5544124;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410210213;;;;
BYP0007;2024-10-22;18:02:24;Colisão;Ferido;BR 116 KM ?;;Não informado;Cidade Dos Funcionarios;;-3.75626802699992;-38.5228625349999;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410220650;;;;
LGM2022;2024-10-22;21:21:41;Colisão;Ferido;Coelho Neto;;1690;Alvaro Weyne;;-3.712126499999999;-38.5802116;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410220848;;;;
YBN4899;2024-10-23;11:27:34;Queda;Ferido;Pedro De Alcantara E Silva;;5;Cambeba;;-3.817539;-38.4845851;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410230324;;;;
CLK8059;2024-10-23;17:18:02;Atropelamento;Ferido;Washington Soares;Edilson Brasil Soares;Cruzamento;Edson Queiroz;;-3.7894834;-38.480421;Cruzamento;;Não informado;;Não informado;;SAMU;;2410230639;;;;
CUN5759;2024-10-23;21:57:07;Queda;Ferido;Coronel Fabriaciano;;2511;Granja Lisboa;;-3.7812004;-38.6135695;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410230963;;;;
LQD2041;2024-10-23;22:01:58;Queda;Ferido;Duque De Caxias;;2086;Farias Brito;;-3.7275817;-38.5427937;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410230969;;;;
CUZ7252;2024-10-24;07:14:42;Colisão;Ferido;Sao Bernardo;Dona Mendinha;Cruzamento;Alvaro Weyne;;-3.7149942;-38.5721583;Cruzamento;;Não informado;;Não informado;;SAMU;;2410240083;;;;
KYA8749;2024-10-24;15:29:08;Colisão;Ferido;Avenida Antônio Sales;RUA PRO DIAS DA ROCHA;3203;Aldeota;Não informado;-3.7475843;-38.49555549999999;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410240524;;;;
SKI2203;2024-10-25;19:38:32;Queda;Ferido;Av. Pres. Costa E Silva;;4381;Prefeito Jose Walter;;-3.8253112;-38.5407992;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410250692;;;;
FIA2954;2024-10-25;23:13:35;Colisão;Ferido;Av.Mozar Lucena;;2316;Não informado;;-3.723706;-38.5973355;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410250889;;;;
ZTZ4351;2024-10-26;10:36:11;Queda;Ferido;Gregorio França;;41;Parque Iracema;;-3.8075349;-38.5008557;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410260376;;;;
WBO3816;2024-10-26;11:09:49;Queda;Ferido;Avenida Ministro Albuquerque Lima;;700;Conjunto Ceara;Não informado;-3.7700673802323657;-38.60650800917537;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2410260409;;;;
NKR6901;2024-10-26;18:23:49;Atropelamento;Ferido;Domingos Olimpio;Aguanambi;Cruzamento;Jose Bonifacio;;-3.7385752;-38.5246084;Cruzamento;;Não informado;;Não informado;;SAMU;;2410260841;;;;
GQF4924;2024-10-26;19:05:48;Queda;Ferido;Da Paz;;270;Planalto Ayrton Senna;;-3.8388357;-38.56918599999999;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2410260876;;;;
